eval/mean_reward,model/parameters,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,eval/best_seq_prediction_mse,rollout/success_rate,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,eval/seq_prediction_mse,time/fps,train/loss,train/std,train/policy_gradient_loss,train/clip_range_vf,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/learning_rate
-268.85638427734375,,0.0,600000,217.5,,,,,,,,,,-0.0008885730057954788,0.740818202495575,0.00045796236518071967,0.3,0.07029368178918957,0.0045514028,0.06298828125,180,-4.256815433502197,0.45149022340774536,0.18820352,8.879334400000001e-05
-285.43792724609375,,0.0,620000,245.6,,,,,,,,1.0507176697254181,,,,,,,,,,,,,
,,,622592,,,,0.0,265.6,19,-278.4136657714844,1844,1.0662691056728364,337,,,,,,,,,,,,
-250.15853881835938,,0.0,640000,193.1,,,,,,,,,,-0.0026699304580688477,0.740818202495575,0.0005646812816848979,0.3,0.0637937217950821,0.0035617603,0.0591217041015625,190,-4.256815433502197,0.4209493398666382,0.18754816000000002,8.8170752e-05
,,,655360,,,,0.0,258.45,20,-274.4596252441406,1921,1.089009565114975,341,,,,,,,,,,,,
-282.83489990234375,,0.0,660000,241.5,,,,,,,,,,0.0007979981601238251,0.740818202495575,0.0007001301753916777,0.3,0.06756864301860332,0.004519705,0.0640289306640625,200,-4.256815433502197,0.43881261348724365,0.18689280000000003,8.754816000000001e-05
-256.85272216796875,,0.0,680000,187.3,,,,,,,,1.2191268920898437,,,,,,,,,,,,,
,,,688128,,,,0.0,263.1,21,-275.99774169921875,2023,1.2872203588485718,340,,,,,,,,,,,,
-247.3994598388672,,0.0,700000,204.2,,,,,,,,,,-0.003666430711746216,0.740818202495575,0.0008922498782339972,0.3,0.06535489307716488,0.0029482022,0.046441650390625,210,-4.256815433502197,0.48879480361938477,0.18623744,8.6925568e-05
-232.10726928710938,,0.0,720000,160.7,,,,,,,,1.250174343585968,,,,,,,,,,,,,
,,,720896,,,,0.0,264.58,22,-282.9121398925781,2120,1.111800640821457,340,,,,,,,,,,,,
-256.00189208984375,,0.0,740000,239.8,,,,,,,,,,-0.003895934671163559,0.740818202495575,-0.00017716008733259514,0.3,0.06664135986939072,0.0042129,0.0552093505859375,220,-4.256815433502197,0.45810467004776,0.18558208,8.6302976e-05
,,,753664,,,,0.0,249.46,23,-273.17413330078125,2201,1.088988709449768,342,,,,,,,,,,,,
-226.63241577148438,,0.0,760000,131.6,,,,,,,,,,-0.0029881522059440613,0.740818202495575,-6.113000708865001e-05,0.3,0.06499903616495431,0.002680746,0.039642333984375,230,-4.256815433502197,0.4381664991378784,0.18492672000000002,8.5680384e-05
-267.80133056640625,,0.0,780000,211.0,,,,,,,,1.1392205893993377,,,,,,,,,,,,,
,,,786432,,,,0.0,265.08,24,-283.5818786621094,2300,1.0930927991867065,341,,,,,,,,,,,,
-267.5207824707031,,0.0,800000,205.1,,,,,,,,,,-0.001650385558605194,0.740818202495575,-0.00018541032331995667,0.3,0.06357544157654046,0.0047844145,0.0507904052734375,240,-4.256815433502197,0.43239492177963257,0.18427136,8.5057792e-05
,,,819200,,,,0.0,248.1,25,-278.4109191894531,2379,1.027367264032364,344,,,,,,,,,,,,
-221.1299591064453,,0.0,820000,121.9,,,,,,,,,,-0.0006995238363742828,0.740818202495575,0.0001475074066547677,0.3,0.06216251151636243,0.0035844664,0.0464263916015625,250,-4.256815433502197,0.47058385610580444,0.183616,8.44352e-05
-239.9489288330078,,0.0,840000,178.0,,,,,,,,1.0539947271347045,,,,,,,,,,,,,
,,,851968,,,,0.0,240.17,26,-273.4545593261719,2473,1.1684697926044465,344,,,,,,,,,,,,
-279.4587097167969,,0.0,860000,230.9,,,,,,,,,,-0.0007988344877958298,0.740818202495575,6.66750143864192e-05,0.3,0.06501259398646653,0.004245934,0.0465423583984375,260,-4.256815433502197,0.510820060968399,0.18296064,8.3812608e-05
-270.4059753417969,,0.0,880000,231.6,,,,,,,,1.2802467465400695,,,,,,,,,,,,,
,,,884736,,,,0.0,243.04,27,-276.32586669921875,2579,0.9975258469581604,343,,,,,,,,,,,,
-241.60104370117188,,0.0,900000,156.6,,,,,,,,,,-0.0079750195145607,0.740818202495575,9.574343712301925e-05,0.3,0.06307560708373786,0.0029438054,0.0421844482421875,270,-4.256815433502197,0.48680806159973145,0.18230528000000001,8.319001600000001e-05
,,,917504,,,,0.0,255.81,28,-282.8712463378906,2648,1.2749165892601013,346,,,,,,,,,,,,
-261.6781921386719,,0.0,920000,211.1,,,,,,,,,,-0.0007604341953992844,0.740818202495575,0.0001971436620806344,0.3,0.0665326923597604,0.003330698,0.049249267578125,280,-4.256815433502197,0.49119341373443604,0.18164992000000002,8.2567424e-05
-281.94696044921875,,0.0,940000,234.2,,,,,,,,1.0740764796733857,,,,,,,,,,,,,
,,,950272,,,,0.0,239.71,29,-262.2856750488281,2755,1.138953983783722,344,,,,,,,,,,,,
-256.8992614746094,,0.0,960000,207.6,,,,,,,,,,0.0009039305150508881,0.740818202495575,-2.4904112797230483e-05,0.3,0.05941411587409675,0.0028470596,0.030731201171875,290,-4.256815433502197,0.5026335418224335,0.18099456000000003,8.194483200000001e-05
-279.3948974609375,,0.0,980000,223.7,,,,,,,,1.128580391407013,,,,,,,,,,,,,
,,,983040,,,0.9621679782867432,0.0,227.59,30,-266.1436767578125,2866,0.9621679782867432,342,,,,,,,,,,,,
-264.37152099609375,,0.0,1000000,204.7,,,,,,,,,,-0.005610993131995201,0.740818202495575,0.00028402165917214007,0.3,0.06361215342767537,0.0037268978,0.0516326904296875,300,-4.256815433502197,0.45608389377593994,0.1803392,8.132224000000001e-05
