time,npos,epos,h,alpha,beta,phi,theta,psi,p,q,r,TAS,ail,ele,rud,thrust,ail_cmd,ele_cmd,rud_cmd,thrust_cmd,vn,ve,vh,mu,chi,nx,ny,nz,nx_ref,ny_ref,nz_ref,Fx,Fy,Fz,Mx,My,Mz,lon,lat,lef,lef_cmd,Cz,delta_Cz_lef,Czq,delta_Czq_lef,Cm,delta_Cm_lef,Cmq,delta_Cmq_lef,delta_Cm,delta_Cm_ds,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
3.000000,603.183874,8.775216,4987.523782,6.912890,1.935110,62.523479,4.896531,9.320095,-54.761025,13.006480,1.025412,200.042921,-4.640410,-1.450010,-2.947348,3890.641100,-4.640410,-1.450010,-2.947348,3890.641100,201.559905,14.415256,-0.092894,-0.026607,4.090741,0.054779,-0.191014,-2.318233,-0.030577,0.692948,-1.858532,1104.589475,-17418.227622,-211395.632515,41897.150257,-19396.426466,40384.663649,122.425092,31.430434,0.000000,0.000000,-0.501555,-0.040585,-30.806062,-0.687875,-0.033493,0.039142,-5.668069,0.086363,0.019383,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.100000,623.339864,10.216742,4987.514492,7.880462,1.373734,57.147111,5.461933,10.501956,-35.857819,11.351716,4.936356,199.816801,-7.281457,0.896183,1.695252,1160.191335,-7.281457,0.896183,1.695252,1160.191335,200.853924,16.299800,0.038479,0.011034,4.639529,0.039422,-0.100600,-2.635575,-0.055763,0.735652,-2.095554,2434.613433,-9173.577738,-240333.517628,61195.269878,-49652.092529,11329.862231,122.425107,31.430615,0.000000,0.000000,-0.597763,-0.035772,-30.960873,-0.378252,-0.056698,0.040246,-5.778373,-0.006524,0.019576,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.200000,643.425257,11.846722,4987.518340,8.518582,0.604309,53.675249,5.700254,11.723926,-8.596935,7.256902,6.639348,199.498155,21.500000,0.418873,4.766796,50992.457323,21.500000,0.418873,4.766796,50992.457323,199.893870,18.298806,0.493741,0.141802,5.230427,0.597543,0.077358,-2.711248,0.498219,0.879046,-2.121816,3496.477960,7054.110003,-247234.037568,-138859.981621,-38345.801648,-40014.836595,122.425124,31.430796,0.000000,0.000000,-0.641072,-0.033396,-31.062973,-0.174054,-0.050402,0.040775,-5.851118,-0.067784,0.019704,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.300000,663.414644,13.676603,4987.567715,8.641205,0.068868,52.911460,5.601612,12.708506,-70.837721,4.256983,3.069482,199.682254,-13.034825,2.091856,2.685003,6578.598586,-13.034825,2.091856,2.685003,6578.598586,199.392862,20.488019,1.077489,0.309171,5.866668,0.093301,-0.030959,-2.767362,-0.004310,0.762936,-2.167194,1929.334249,-2823.132402,-252350.987407,126045.918422,-57963.491501,-1616.081572,122.425144,31.430976,0.000000,0.000000,-0.668008,-0.033880,-31.082592,-0.134814,-0.068606,0.040736,-5.865097,-0.079556,0.019728,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
-875.076026,4801.636051,-175972.158243,176068.442621,-28227.950880,23211.930313,122.424828,31.431012,0.000000,0.000000,-0.402345,-0.053062,-30.569736,-1.160527,-0.050719,0.037434,-5.499687,0.228158,0.019087,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.400000,687.596278,-18.836846,4954.171442,5.089049,-2.172435,-113.579238,-7.900281,-13.034930,11.012412,4.142506,-6.278600,204.164131,10.144764,0.912546,-1.305871,2134.632112,10.144764,0.912546,-1.305871,2134.632112,201.887851,-26.402470,-27.971284,-7.874512,-7.450738,-0.000399,0.178315,-1.850545,0.137050,-0.729494,-2.246765,-2171.043803,16260.274673,-168747.964875,-73390.603629,-37491.385952,-29179.306836,122.424802,31.431194,0.000000,0.000000,-0.385556,-0.055206,-30.514248,-1.271504,-0.059667,0.037192,-5.460151,0.261451,0.019018,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.500000,707.785063,-21.477093,4951.374314,4.922156,-1.652359,-112.456807,-8.641072,-13.172293,-21.865976,1.185458,-8.802197,204.130595,-21.500000,-0.416551,-4.617259,72719.669186,-21.500000,-0.416551,-4.617259,72719.669186,200.900507,-28.014322,-29.430139,-8.289398,-7.938351,0.772670,-0.001525,-1.698285,0.922914,-0.915202,-2.075936,-2261.222751,-139.053774,-154863.660927,192643.164599,-14786.832009,39232.169493,122.424774,31.431376,0.000000,0.000000,-0.359143,-0.057113,-30.484431,-1.270419,-0.045815,0.037106,-5.450467,0.269689,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.600000,727.875113,-24.278525,4948.431300,4.383690,-1.210037,-114.683796,-9.495788,-12.925741,64.287717,0.376201,-4.800494,204.884063,-6.418893,1.248693,-1.900370,13675.479999,-6.418893,1.248693,-1.900370,13675.479999,200.919206,-29.614329,-31.212629,-8.762725,-8.384695,0.104835,0.055775,-1.630495,0.269810,-0.840401,-2.042383,-4115.740975,5086.030581,-148681.980917,23444.749702,-37492.945203,7330.490242,122.424745,31.431557,0.000000,0.000000,-0.340085,-0.059850,-30.376738,-1.065802,-0.064650,0.036648,-5.453698,0.267535,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.700000,747.967034,-27.239958,4945.310037,3.991149,-0.470561,-108.282169,-9.955803,-12.783032,74.792421,-3.106060,-4.177014,205.012644,21.500000,-2.907013,-2.818191,15407.133189,21.500000,-2.907013,-2.818191,15407.133189,201.016500,-31.101921,-32.682491,-9.173056,-8.795246,0.102310,0.081306,-1.314995,0.275199,-0.853918,-1.623968,-6077.629458,7414.180468,-119912.127541,-220399.054574,24229.135115,-17368.268246,122.424714,31.431738,0.000000,0.000000,-0.274453,-0.062743,-30.298230,-0.916637,-0.022540,0.036265,-5.456053,0.265965,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.028500,0.048338,-1.293582,-0.012295,0.721387,-0.554162,-5469.893714,4407.876255,-117959.504514,-14779.261093,-15756.754302,-24124.472008,122.425473,31.431837,0.000000,0.000000,-0.235981,-0.065608,-30.135970,-0.608343,-0.045367,0.035573,-5.460921,0.262719,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
