eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/parameters,model/extractor_type,eval/mean_reward,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,eval/seq_prediction_mse,time/iterations,rollout/ep_len_mean,eval/best_seq_prediction_mse,train/explained_variance,train/clip_range_vf,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss
,1310720,,,,,3651,-287.3798522949219,358,0.0,0.7719760328531265,40,399.0,,,,,,,,,,,,,
0.0,1320000,328.2,,,-270.01617431640625,,,,,,,,,0.12098360061645508,0.3,-4.256815433502197,0.740818202495575,0.0010701619903557003,0.0511932373046875,80,-0.0625266432762146,0.003419979,7.509632000000001e-05,0.1737856,0.07764750020578504
0.0,1340000,290.8,,,-265.99761962890625,,,,,0.674165454506874,,,,,,,,,,,,,,,
,1343488,,,,,3761,-287.3143615722656,357,0.0,0.6727417021989822,41,399.0,,,,,,,,,,,,,
0.0,1360000,291.9,,,-248.6583251953125,,,,,,,,,0.11007672548294067,0.3,-4.256815433502197,0.740818202495575,0.0017170099163195118,0.0507965087890625,82,-0.06145191192626953,0.0030522728,7.447372800000001e-05,0.17313024000000002,0.07529034139588475
,1376256,,,,,3833,-284.2720031738281,358,0.01,0.6319728910923004,42,396.4,,,,,,,,,,,,,
0.0,1380000,399.0,,,-306.90740966796875,,,,,,,,,0.14088362455368042,0.3,-4.256815433502197,0.740818202495575,0.00050941071822308,0.0597076416015625,84,-0.06538315117359161,0.0035683021,7.3851136e-05,0.17247488,0.07204619515687227
0.0,1400000,330.6,,,-290.8526306152344,,,,,0.5777975380420685,,,,,,,,,,,,,,,
,1409024,,,,,3954,-292.83465576171875,356,0.0,0.7127079635858535,43,399.0,,,,,,,,,,,,,
0.0,1420000,293.8,,,-265.5334777832031,,,,,,,,,0.15554356575012207,0.3,-4.256815433502197,0.740818202495575,0.0010623191483318806,0.0425872802734375,86,-0.060738109052181244,0.003091218,7.3228544e-05,0.17181952,0.07107154140248895
0.0,1440000,328.8,,,-279.3616027832031,,,,,0.740800940990448,,,,,,,,,,,,,,,
,1441792,,,,,4061,-293.7087707519531,355,0.0,0.7503882825374604,44,391.73,,,,,,,,,,,,,
0.0,1460000,329.0,,,-271.2654724121094,,,,,,,,,0.14473384618759155,0.3,-4.256815433502197,0.740818202495575,0.000732540269382298,0.06048583984375,88,-0.06149601191282272,0.0039577875,7.2605952e-05,0.17116416,0.07304949080571532
,1474560,,,,,4135,-293.9740905761719,356,0.0,0.7139171898365021,45,399.0,,,,,,,,,,,,,
0.0,1480000,293.7,,,-269.76434326171875,,,,,,,,,0.11616671085357666,0.3,-4.256815433502197,0.740818202495575,0.0007455057166225743,0.0402679443359375,90,-0.06260029226541519,0.0029402734,7.198335999999999e-05,0.17050880000000002,0.06673023151233792
0.0,1500000,316.3,,,-271.7525329589844,,,,,0.6844227135181427,,,,,,,,,,,,,,,
,1507328,,,,,4245,-296.42108154296875,355,0.0,0.7250510185956955,46,395.4,,,,,,,,,,,,,
0.0,1520000,258.9,,,-260.4139404296875,,,,,,,,,0.13423645496368408,0.3,-4.256815433502197,0.740818202495575,0.0005437932559289038,0.041717529296875,92,-0.06701424717903137,0.002846674,7.1360768e-05,0.16985344000000002,0.06487124902196229
0.0,1540000,329.0,,,-275.59442138671875,,,,,0.7100201189517975,,,,,,,,,,,,,,,
,1540096,,,,,4354,-290.7703552246094,353,0.0,0.7846277475357055,47,395.4,,,,,,,,,,,,,
0.1,1560000,356.2,,,-262.50128173828125,,,,,,,,,0.137473464012146,0.3,-4.256815433502197,0.740818202495575,0.0005156992701813579,0.0368804931640625,94,-0.06901641190052032,0.0024454384,7.073817600000001e-05,0.16919808000000003,0.05990479770116508
,1572864,,,,,4431,-286.16424560546875,354,0.0,0.6977434873580932,48,395.38,,,,,,,,,,,,,
0.0,1580000,294.2,,,-280.77642822265625,,,,,,,,,0.11678844690322876,0.3,-4.256815433502197,0.740818202495575,0.0005779860803158954,0.0384368896484375,96,-0.06794232130050659,0.0026316456,7.0115584e-05,0.16854272,0.06239658943377435
0.0,1600000,293.7,,,-251.28488159179688,,,,,0.6598349899053574,,,,,,,,,,,,,,,
,1605632,,,,,4540,-289.8912048339844,353,0.0,0.6442342311143875,49,399.0,,,,,,,,,,,,,
0.0,1620000,291.1,,,-255.2581329345703,,,,,,,,,0.16675764322280884,0.3,-4.256815433502197,0.740818202495575,0.0007147519718273543,0.0324859619140625,98,-0.06729427725076675,0.0024223956,6.9492992e-05,0.16788736,0.05923432018607855
,1638400,,,,,4612,-298.6055603027344,355,0.0,0.7417867422103882,50,392.01,,,,,,,,,,,,,
0.0,1640000,351.3,,,-293.98699951171875,,,,,,,,,0.1647050976753235,0.3,-4.256815433502197,0.740818202495575,0.00011925959552172571,0.0409088134765625,100,-0.06956791877746582,0.0026258195,6.887040000000001e-05,0.16723200000000002,0.05634569167159498
0.1,1660000,299.6,,,-258.092041015625,,,,,0.7635881960391998,,,,,,,,,,,,,,,
,1671168,,,,,4718,-290.000732421875,354,0.0,0.695780149102211,51,395.37,,,,,,,,,,,,,
0.0,1680000,258.8,,,-268.01690673828125,,,,,,,,,0.1491643190383911,0.3,-4.256815433502197,0.740818202495575,0.0008410640148213133,0.0355377197265625,102,-0.06760959327220917,0.0026526605,6.824780800000001e-05,0.16657664,0.055259676184505224
0.0,1700000,294.0,,,-261.67169189453125,,,,,0.6924291789531708,,,,,,,,,,,,,,,
,1703936,,,,,4824,-287.9508056640625,353,0.0,0.6517730236053467,52,399.0,,,,,,,,,,,,,
0.0,1720000,329.1,,,-276.3390808105469,,,,,,,,,0.09751778841018677,0.3,-4.256815433502197,0.740818202495575,0.0010220979966106825,0.036956787109375,104,-0.06776795536279678,0.0024355683,6.7625216e-05,0.16592128,0.049794858088716865
,1736704,,,,,4899,-289.7068176269531,354,0.0,0.6927339375019074,53,398.99,,,,,,,,,,,,,
0.0,1740000,224.1,,,-243.47335815429688,,,,,,,,,0.10701113939285278,0.3,-4.256815433502197,0.740818202495575,0.00022975557658355683,0.028106689453125,106,-0.07043661922216415,0.002177691,6.700262400000001e-05,0.16526592,0.050289172446355224
0.0,1760000,259.4,,,-267.83856201171875,,,,,0.7089865922927856,,,,,,,,,,,,,,,
,1769472,,,,,4999,-288.0487976074219,353,0.0,0.7113353192806244,54,398.94,,,,,,,,,,,,,
0.0,1780000,329.2,,,-268.99603271484375,,,,,,,,,0.1581133008003235,0.3,-4.256815433502197,0.740818202495575,0.0003225973850931041,0.03466796875,108,-0.06991873681545258,0.0025162566,6.6380032e-05,0.16461056000000002,0.05061520100571215
0.0,1800000,294.3,,,-261.0252380371094,,,,,0.6850283086299896,,,,,,,,,,,,,,,
,1802240,,,,,5110,-283.747314453125,352,0.0,0.7640785276889801,55,395.07,,,,,,,,,,,,,
